month,chain,number_of_unique_addresses
2023-07-01,ajuna,9
2023-07-01,astar,516280
2023-07-01,crust,1005
2023-07-01,kapex,1063
2023-07-01,manta,23
2023-07-01,nodle,798570
2023-07-01,phala,4007
2023-07-01,clover,2268
2023-07-01,unique,24521
2023-07-01,aventus,363
2023-07-01,bifrost,4932
2023-07-01,hydradx,24076
2023-07-01,bitgreen,1321
2023-07-01,darwinia,774
2023-07-01,interlay,12268
2023-07-01,litentry,4852
2023-07-01,moonbeam,1263261
2023-07-01,parallel,48059
2023-07-01,pendulum,979
2023-07-01,polkadex,2
2023-07-01,polkadot,1135817
2023-07-01,frequency,124
2023-07-01,statemint,1238
2023-07-01,zeitgeist,15979
2023-07-01,centrifuge,46419
2023-07-01,composable,28
2023-07-01,collectives,46
2023-07-01,equilibrium,10138
2023-07-01,origintrail,3698
2023-07-01,polkadot-t3rn,4
2023-07-01,kilt-spiritnet,18825
2023-07-01,polkadot-hashed,582
2023-06-01,acala,160640
2023-06-01,ajuna,9
2023-06-01,astar,512112
2023-06-01,crust,1003
2023-06-01,kapex,1063
2023-06-01,manta,12
2023-06-01,nodle,785233
2023-06-01,phala,3777
2023-06-01,clover,2260
2023-06-01,unique,24440
2023-06-01,aventus,354
2023-06-01,bifrost,4749
2023-06-01,hydradx,23894
2023-06-01,bitgreen,1291
2023-06-01,darwinia,737
2023-06-01,interlay,12012
2023-06-01,litentry,4833
2023-06-01,moonbeam,1184554
2023-06-01,parallel,47934
2023-06-01,pendulum,922
2023-06-01,polkadex,2
2023-06-01,polkadot,1120821
2023-06-01,frequency,124
2023-06-01,statemint,1062
2023-06-01,zeitgeist,15905
2023-06-01,centrifuge,46037
2023-06-01,composable,28
2023-06-01,collectives,26
2023-06-01,equilibrium,10089
2023-06-01,origintrail,3628
2023-06-01,polkadot-t3rn,4
2023-06-01,kilt-spiritnet,18746
2023-06-01,polkadot-hashed,576
2023-05-01,acala,159840
2023-05-01,ajuna,9
2023-05-01,astar,507362
2023-05-01,crust,1001
2023-05-01,kapex,1060
2023-05-01,manta,9
2023-05-01,nodle,771271
2023-05-01,phala,3510
2023-05-01,clover,2233
2023-05-01,unique,24231
2023-05-01,aventus,335
2023-05-01,bifrost,4532
2023-05-01,hydradx,23724
2023-05-01,bitgreen,1268
2023-05-01,darwinia,687
2023-05-01,interlay,11884
2023-05-01,litentry,4814
2023-05-01,moonbeam,1156662
2023-05-01,parallel,47790
2023-05-01,pendulum,883
2023-05-01,polkadex,2
2023-05-01,polkadot,1103118
2023-05-01,frequency,124
2023-05-01,statemint,873
2023-05-01,zeitgeist,15810
2023-05-01,centrifuge,45647
2023-05-01,composable,27
2023-05-01,collectives,14
2023-05-01,equilibrium,10004
2023-05-01,origintrail,3618
2023-05-01,polkadot-t3rn,4
2023-05-01,kilt-spiritnet,18609
2023-05-01,polkadot-hashed,573
2023-04-01,acala,159276
2023-04-01,ajuna,9
2023-04-01,astar,503729
2023-04-01,crust,999
2023-04-01,kapex,1058
2023-04-01,manta,9
2023-04-01,nodle,757170
2023-04-01,phala,3316
2023-04-01,clover,2225
2023-04-01,unique,24126
2023-04-01,aventus,330
2023-04-01,bifrost,4282
2023-04-01,hydradx,23590
2023-04-01,bitgreen,1226
2023-04-01,darwinia,552
2023-04-01,interlay,11743
2023-04-01,litentry,4799
2023-04-01,moonbeam,1133316
2023-04-01,parallel,47645
2023-04-01,pendulum,790
2023-04-01,polkadex,2
2023-04-01,polkadot,1092878
2023-04-01,frequency,41
2023-04-01,statemint,730
2023-04-01,zeitgeist,15703
2023-04-01,centrifuge,45331
2023-04-01,composable,21
2023-04-01,collectives,14
2023-04-01,equilibrium,9935
2023-04-01,origintrail,3599
2023-04-01,polkadot-t3rn,4
2023-04-01,kilt-spiritnet,18450
2023-04-01,polkadot-hashed,571
2023-03-01,acala,158900
2023-03-01,ajuna,9
2023-03-01,astar,498651
2023-03-01,crust,998
2023-03-01,kapex,1055
2023-03-01,manta,9
2023-03-01,nodle,738577
2023-03-01,phala,3199
2023-03-01,clover,2206
2023-03-01,unique,23992
2023-03-01,aventus,326
2023-03-01,bifrost,4090
2023-03-01,hydradx,23428
2023-03-01,bitgreen,1010
2023-03-01,darwinia,847
2023-03-01,interlay,11527
2023-03-01,litentry,4772
2023-03-01,moonbeam,1084269
2023-03-01,parallel,47469
2023-03-01,pendulum,705
2023-03-01,polkadex,2
2023-03-01,polkadot,1080386
2023-03-01,frequency,28
2023-03-01,statemint,663
2023-03-01,zeitgeist,15618
2023-03-01,centrifuge,45010
2023-03-01,composable,5
2023-03-01,collectives,13
2023-03-01,equilibrium,9843
2023-03-01,origintrail,3534
2023-03-01,polkadot-t3rn,4
2023-03-01,kilt-spiritnet,18279
2023-03-01,polkadot-hashed,560
2023-02-01,acala,157961
2023-02-01,ajuna,9
2023-02-01,astar,492868
2023-02-01,crust,992
2023-02-01,kapex,1054
2023-02-01,nodle,711279
2023-02-01,phala,3128
2023-02-01,clover,2167
2023-02-01,unique,15826
2023-02-01,aventus,317
2023-02-01,bifrost,3829
2023-02-01,hydradx,23325
2023-02-01,bitgreen,782
2023-02-01,darwinia,821
2023-02-01,interlay,11345
2023-02-01,litentry,4767
2023-02-01,moonbeam,1020744
2023-02-01,parallel,47248
2023-02-01,pendulum,85
2023-02-01,polkadex,2
2023-02-01,polkadot,1072618
2023-02-01,frequency,28
2023-02-01,statemint,601
2023-02-01,zeitgeist,15514
2023-02-01,centrifuge,44642
2023-02-01,composable,5
2023-02-01,collectives,11
2023-02-01,equilibrium,9331
2023-02-01,origintrail,3507
2023-02-01,kilt-spiritnet,18081
2023-01-01,acala,167545
2023-01-01,ajuna,7
2023-01-01,astar,481304
2023-01-01,crust,973
2023-01-01,kapex,1051
2023-01-01,nodle,684104
2023-01-01,phala,3019
2023-01-01,clover,2109
2023-01-01,unique,15694
2023-01-01,aventus,317
2023-01-01,bifrost,3566
2023-01-01,hydradx,23195
2023-01-01,bitgreen,178
2023-01-01,darwinia,802
2023-01-01,interlay,11047
2023-01-01,litentry,4751
2023-01-01,moonbeam,568997
2023-01-01,parallel,46938
2023-01-01,polkadex,2
2023-01-01,polkadot,1056358
2023-01-01,frequency,27
2023-01-01,statemint,466
2023-01-01,zeitgeist,15360
2023-01-01,centrifuge,44224
2023-01-01,composable,5
2023-01-01,collectives,10
2023-01-01,equilibrium,8985
2023-01-01,origintrail,3473
2023-01-01,kilt-spiritnet,17918
